no.;longitude;latitude
2311;-67.476295;-9.857453
2312;-67.43129;-9.967845
2313;-67.38623;-10.078224
2314;-67.34115;-10.188595
2315;-67.29605;-10.298963
2316;-67.25092;-10.40932
2317;-67.20574;-10.519668
2318;-67.16052;-10.630004
2319;-67.115265;-10.74033
2320;-67.06997;-10.850645
2321;-67.02464;-10.96095
2322;-66.97927;-11.071244
2323;-66.93386;-11.181537
2324;-66.888405;-11.291823
2325;-66.84291;-11.402087
2326;-66.79738;-11.512339
2327;-66.75181;-11.622577
2328;-66.70619;-11.732809
2329;-66.66053;-11.843031
2330;-66.61483;-11.953243
2331;-66.56908;-12.063439
2332;-66.52328;-12.173623
2333;-66.47745;-12.283799
2334;-66.43158;-12.393979
2335;-66.38566;-12.504147
2336;-66.33969;-12.6142845
2337;-66.29368;-12.724403
2338;-66.24761;-12.834514
2339;-66.20151;-12.944624
2340;-66.15535;-13.054725
2341;-66.109146;-13.164807
2342;-66.06289;-13.274876
2343;-66.01659;-13.3849325
2344;-65.97024;-13.494971
2345;-65.92384;-13.604992
2346;-65.877396;-13.715006
2347;-65.830894;-13.825001
2348;-65.78434;-13.934984
2349;-65.73774;-14.044958
2350;-65.691086;-14.154928
2351;-65.64439;-14.264886
2352;-65.59763;-14.374825
2353;-65.55083;-14.484752
2354;-65.50396;-14.594664
2355;-65.45705;-14.704556
2356;-65.41008;-14.814432
2357;-65.36305;-14.9243
2358;-65.31596;-15.034154
2359;-65.26882;-15.143997
2360;-65.22163;-15.253818
2361;-65.17438;-15.363621
2362;-65.12707;-15.473411
2363;-65.0797;-15.583197
2364;-65.03227;-15.692971
2365;-64.98479;-15.80272
2366;-64.93724;-15.912443
2367;-64.889626;-16.022152
2368;-64.841965;-16.131855
2369;-64.79424;-16.241545
2370;-64.74646;-16.351217
2371;-64.69861;-16.460875
2372;-64.650696;-16.570518
2373;-64.60272;-16.680141
2374;-64.55469;-16.78974
2375;-64.5066;-16.89932
2376;-64.458435;-17.008892
2377;-64.41021;-17.11845
2378;-64.361916;-17.227987
2379;-64.313545;-17.337513
2380;-64.26511;-17.44702
2381;-64.21661;-17.556505
2382;-64.16806;-17.665966
2383;-64.11944;-17.775412
2384;-64.07074;-17.884848
2385;-64.02196;-17.994272
2386;-63.97311;-18.103674
2387;-63.924206;-18.213055
2388;-63.87523;-18.322416
2389;-63.82618;-18.431757
2390;-63.777054;-18.541075
2391;-63.727856;-18.650375
2392;-63.678593;-18.75966
2393;-63.62926;-18.868923
2394;-63.57985;-18.97817
2395;-63.530365;-19.087404
2396;-63.480804;-19.19662
2397;-63.431164;-19.305815
2398;-63.381454;-19.414982
2399;-63.33166;-19.524134
2400;-63.28179;-19.633265
2401;-63.231842;-19.742374
2402;-63.18182;-19.851465
2403;-63.131718;-19.960543
2404;-63.081535;-20.069601
2405;-63.031273;-20.178633
2406;-62.980934;-20.287634
2407;-62.93051;-20.396616
2408;-62.880005;-20.505583
2409;-62.82941;-20.61453
2410;-62.778736;-20.723455
2411;-62.727985;-20.832354
2412;-62.67715;-20.941229
2413;-62.62623;-21.050087
2414;-62.575226;-21.158928
2415;-62.524136;-21.267746
2416;-62.472958;-21.376537
2417;-62.42169;-21.485308
2418;-62.37034;-21.594055
2419;-62.318893;-21.702776
2420;-62.26736;-21.811472
2421;-62.21574;-21.92015
2422;-62.164024;-22.028816
2423;-62.11222;-22.137459
2424;-62.060333;-22.246069
2425;-62.008358;-22.354652
2426;-61.956287;-22.463211
2427;-61.90411;-22.571743
2428;-61.85184;-22.680248
2429;-61.79948;-22.788733
2430;-61.747032;-22.897203
2431;-61.69449;-23.005646
2432;-61.64184;-23.114063
