DATE,IPG3273S
2015-04-01,112.5207
2015-05-01,113.6049
2015-06-01,115.0663
2015-07-01,116.6999
2015-08-01,118.1964
2015-09-01,115.2876
2015-10-01,118.7548
2015-11-01,119.1771
2015-12-01,121.9645
2016-01-01,119.5546
2016-02-01,120.1454
2016-03-01,118.0694
2016-04-01,119.5296
2016-05-01,119.3358
2016-06-01,120.2957
2016-07-01,121.2459
2016-08-01,119.3232
2016-09-01,119.7146
2016-10-01,121.5456
2016-11-01,122.3729
2016-12-01,121.0551
2017-01-01,121.7283
2017-02-01,126.7299
2017-03-01,127.8869
2017-04-01,125.1321
2017-05-01,126.1251
2017-06-01,124.7545
2017-07-01,124.4851
2017-08-01,120.7240
2017-09-01,126.3576
2017-10-01,125.7309
2017-11-01,126.2172
2017-12-01,127.5304
2018-01-01,123.8414
2018-02-01,131.5983
2018-03-01,128.4411
2018-04-01,130.6923
2018-05-01,129.7931
2018-06-01,128.3231
2018-07-01,124.3439
2018-08-01,125.2401
2018-09-01,121.2515
2018-10-01,124.1667
2018-11-01,124.0041
2018-12-01,131.0824
2019-01-01,134.4821
2019-02-01,122.5257
2019-03-01,128.2784
2019-04-01,129.1345
2019-05-01,130.3643
2019-06-01,131.7689
2019-07-01,130.7515
2019-08-01,130.3797
2019-09-01,131.1906
2019-10-01,129.6682
2019-11-01,127.6268
2019-12-01,130.1878
2020-01-01,137.0148
2020-02-01,132.0928
2020-03-01,125.8497
2020-04-01,109.6321
2020-05-01,120.3394
2020-06-01,120.4970
