,AGS,longitude,latitude
309,09761,"10,892578","48,369696"
310,09762,"10,620583","47,879698"
311,09763,"10,317823","47,724016"
312,09764,"10,184968","47,988445"
313,09772,"10,719444","48,425522"
314,09773,"10,617074","48,714739"
315,09774,"10,444326","48,265505"
316,09775,"10,093865","48,25525"
317,09776,"9,661948","47,571583"
318,09777,"10,70045","47,569686"
319,09778,"10,592777","48,002989"
320,09779,"10,818019","48,682934"
321,09780,"10,215024","47,803647"
322,10041,"6,995542","49,236608"
323,10042,"6,69679","49,394177"
324,10043,"6,967465","49,406885"
325,10044,"6,726833","49,351599"
326,10045,"7,257578","49,347836"
327,10046,"7,248603","49,552395"
328,11000,"13,405538","52,51767"
329,12051,"12,563364","52,408651"
330,12052,"14,335117","51,759345"
331,12053,"14,550979","52,341757"
332,12054,"13,05358","52,400355"
333,12060,"13,57961","52,576115"
334,12061,"13,632815","52,243008"
335,12062,"13,394139","51,515956"
336,12063,"12,997668","52,581603"
337,12064,"13,728164","52,566902"
338,12065,"13,282792","52,688528"
339,12066,"13,949411","51,74682"
340,12067,"14,24693","52,172338"
341,12068,"12,764153","52,813492"
342,12069,"12,977691","52,232322"
343,12070,"12,055363","53,118372"
344,12071,"14,217333","51,657264"
345,12072,"13,405535","52,156432"
346,12073,"14,003142","53,017304"
347,13003,"12,135993","54,088548"
348,13004,"11,414434","53,628545"
349,13071,"12,857146","53,898946"
350,13072,"11,89935","54,106684"
351,13073,"13,605285","54,401814"
352,13074,"11,184913","53,864458"
353,13075,"13,693003","53,855297"
354,14511,"12,921602","50,833593"
355,14521,"12,989482","50,748949"
356,16068,"11,154924","51,247609"
357,16074,"11,792353","50,903186"
358,16075,"11,818713","50,406073"
359,14612,"13,736883","51,051697"
360,14625,"13,992798","51,097715"
361,14626,"14,575506","51,404654"
362,14627,"13,580494","51,126777"
363,14628,"13,722393","50,993964"
364,14713,"12,377931","51,338288"
365,14729,"12,710898","51,360574"
366,14730,"12,585782","51,592198"
367,15001,"12,241879","51,830855"
368,15002,"11,970666","51,482478"
369,15003,"11,632726","52,126248"
370,15081,"11,489149","52,881825"
371,15082,"12,043952","51,852549"
372,15083,"11,620091","52,199761"
373,15084,"12,179131","51,056963"
374,15085,"11,237514","51,72028"
375,15086,"11,716439","52,159249"
376,15087,"11,384492","51,401795"
377,15088,"12,068592","51,292022"
378,15089,"11,455041","51,756034"
379,15090,"11,555013","52,661431"
380,15091,"13,046683","51,731338"
381,16051,"11,027236","50,977122"
382,16052,"12,080429","50,876147"
383,16053,"11,591842","50,93006"
384,16054,"10,68693","50,609536"
385,16055,"11,329741","50,980761"
386,16056,"10,322388","50,977287"
387,16061,"10,137999","51,378474"
388,16062,"10,665677","51,587555"
389,16063,"10,298592","50,799712"
390,16064,"10,649621","51,106802"
391,16065,"11,292898","51,366252"
392,16066,"10,59169","50,641673"
393,16067,"10,573924","50,860102"
394,16069,"10,729007","50,425612"
395,16070,"10,970076","50,875928"
396,16071,"11,517423","51,02536"
397,16072,"11,159835","50,476118"
398,16073,"11,261585","50,68475"
399,16076,"12,16472","50,753247"
400,16077,"12,437252","50,987195"
