Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual 
RUSSIAN FEDERATION (ASIA);OMSK;28698;1961-1990;Mean Monthly Value;mm;21.7;13.8;14.1;21.3;33.5;54.2;61.0;54.0;33.2;33.5;28.1;21.5;389.9
RUSSIAN FEDERATION (ASIA);UFA;28722;1961-1990;Mean Monthly Value;mm;42.0;32.3;28.0;37.4;38.1;64.7;63.7;58.3;54.5;60.7;54.8;46.6;581.1
RUSSIAN FEDERATION (ASIA);KUJBYSEV/BEZENCUK;28900;1961-1990;Mean Monthly Value;mm;46.6;35.0;32.9;38.7;32.9;58.0;64.1;52.1;45.0;52.5;54.2;51.0;563.0
RUSSIAN FEDERATION (ASIA);KOLPASEV;29231;1961-1990;Mean Monthly Value;mm;23.7;14.7;17.8;26.2;53.9;58.0;67.8;70.6;50.1;46.7;35.6;30.1;495.2
RUSSIAN FEDERATION (ASIA);JENISEJSK;29263;1961-1990;Mean Monthly Value;mm;28.9;18.7;17.2;23.2;43.7;52.5;58.0;70.8;47.1;45.5;45.3;35.0;485.9
RUSSIAN FEDERATION (ASIA);BOGUCANY;29282;1961-1990;Mean Monthly Value;mm;16.2;10.7;10.2;16.7;33.7;39.7;51.6;53.1;42.6;24.6;25.0;19.3;343.4
RUSSIAN FEDERATION (ASIA);TOMSK;29430;1961-1990;Mean Monthly Value;mm;32.1;20.6;22.3;27.4;45.7;60.1;72.6;70.6;43.1;51.0;52.0;40.7;538.2
RUSSIAN FEDERATION (ASIA);KRASNOJARSK;29574;1961-1990;Mean Monthly Value;mm;15.1;12.9;14.7;26.3;46.6;58.0;80.1;68.0;40.9;41.0;37.0;26.3;466.9
RUSSIAN FEDERATION (ASIA);BARABINSK;29612;1961-1990;Mean Monthly Value;mm;18.7;13.2;13.7;19.5;32.6;44.8;62.5;53.1;33.4;35.5;29.0;22.5;378.5
RUSSIAN FEDERATION (ASIA);NIZNE-UDINSK;29698;1961-1990;Mean Monthly Value;mm;9.1;8.7;7.2;15.2;34.5;50.1;98.1;81.3;42.0;19.6;11.6;13.6;391.0
