Country or Territory;Station Name;WMO Station Number;National Station Id Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
CANADA;ST JOHN'S WEST CDA , NF;71000;8403600;1950-1990;Mean Monthly Value;mm;179.4;154.9;146.3;124.5;107.0;93.5;77.8;113.8;117.0;149.0;152.8;163.5;1579.5
CANADA;BATTLE HARBOUR LOR , NF;71000;8500398;1957-1983;Mean Monthly Value;mm;84.6;76.5;97.4;79.1;58.8;78.7;73.1;80.4;68.3;74.1;92.4;90.0;953.3
CANADA;NORMAN WELLS A , NT;71043;2202800;1943-1990;Mean Monthly Value;mm;18.7;14.7;11.6;14.4;19.7;43.2;50.4;49.0;30.6;29.5;17.0;17.7;316.6
CANADA;TESLIN A , YT;71045;2101100;1943-1990;Mean Monthly Value;mm;28.0;19.3;20.8;11.6;21.6;27.5;43.7;38.4;39.1;36.9;26.2;27.5;340.5
CANADA;SACHS HARBOUR A , NT;71051;2503650;1955-1990;Mean Monthly Value;mm;3.3;5.1;3.3;5.0;9.9;8.2;15.7;25.9;19.4;18.6;7.7;4.5;126.5
CANADA;CLINTON POINT , NT;71053;2200750;1957-1990;Mean Monthly Value;mm;4.9;3.8;4.5;7.4;9.0;15.4;31.7;33.9;25.3;18.2;10.1;5.4;169.5
CANADA;HIGH LEVEL A , AB;71066;3073146;1970-1990;Mean Monthly Value;mm;22.9;17.0;19.2;17.1;41.5;65.0;61.0;43.8;34.1;31.2;29.2;22.2;420.1
CANADA;PEACE RIVER A , AB;71068;3075040;1944-1990;Mean Monthly Value;mm;22.6;19.3;15.1;15.8;31.5;63.4;61.7;50.9;40.4;24.1;23.0;19.9;387.6
CANADA;SLAVE LAKE A , AB;71069;3066001;1970-1990;Mean Monthly Value;mm;24.2;16.7;18.7;19.6;40.6;89.8;96.7;69.2;48.2;27.4;19.2;25.7;496.0
CANADA;JENNY LIND ISLAND A , NT;71071;2302650;1957-1990;Mean Monthly Value;mm;2.2;2.4;2.7;3.9;5.9;10.6;19.6;25.9;18.6;14.0;5.5;3.0;114.3
CANADA;MOULD BAY A , NT;71072;2502700;1948-1990;Mean Monthly Value;mm;3.2;4.1;2.5;5.3;7.1;7.6;14.2;22.4;17.4;11.8;5.0;4.5;104.8
CANADA;FORT RELIANCE , NT;71073;2201900;1948-1990;Mean Monthly Value;mm;12.1;10.7;10.5;14.1;15.9;31.4;36.5;46.9;32.2;28.9;20.2;13.4;272.7
CANADA;URANIUM CITY A , SK;71076;4068340;1953-1986;Mean Monthly Value;mm;20.7;14.8;18.6;19.2;21.4;37.8;53.0;53.5;37.3;35.9;29.2;20.6;361.8
CANADA;LYNN LAKE A , MB;71078;5061646;1968-1990;Mean Monthly Value;mm;20.4;16.0;16.2;23.0;44.0;65.2;77.4;73.2;59.4;43.5;31.3;22.8;492.5
