Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
BRAZIL;Turiacu;82198;1961-1990;Mean Monthly Value;mm;201.1;367.1;426.6;387.6;262.7;215.0;153.1;56.8;19.3;19.1;15.7;71.1;2193.4
BRAZIL;Parintins;82240;1961-1990;Mean Monthly Value;mm;205.8;318.3;311.3;296.4;250.0;188.6;139.4;77.1;64.8;79.6;96.0;195.9;2223.2
BRAZIL;Belterra;82246;1961-1990;Mean Monthly Value;mm;183.5;258.3;302.8;283.4;264.5;125.7;93.5;52.4;41.8;47.6;77.3;180.4;1911.2
BRAZIL;Sao Luis;82280;1961-1990;Mean Monthly Value;mm;255.6;381.9;422.1;472.6;319.8;170.5;137.6;32.0;20.0;10.7;10.5;91.8;2325.1
BRAZIL;Parnaiba;82287;1961-1990;Mean Monthly Value;mm;137.8;276.8;357.5;336.0;226.3;54.0;21.2;4.7;2.2;3.1;8.4;45.8;1473.8
BRAZIL;Tefe;82317;1961-1990;Mean Monthly Value;mm;260.3;237.7;275.1;287.2;271.6;176.1;129.4;101.7;148.7;168.8;192.2;215.5;2463.6
BRAZIL;Manaus;82331;1961-1990;Mean Monthly Value;mm;260.1;288.3;313.5;300.1;256.3;113.6;87.5;57.9;83.3;125.7;183.0;216.9;2286.2
BRAZIL;Itacoatiara;82336;1961-1990;Mean Monthly Value;mm;326.6;315.5;335.1;271.6;204.0;138.0;91.0;49.8;43.1;41.9;45.5;64.7;1966.8
BRAZIL;Altamira;82353;1961-1990;Mean Monthly Value;mm;301.5;303.5;293.8;316.7;215.5;110.2;78.6;33.4;39.3;47.8;78.5;469.1;1987.9
BRAZIL;Tucurui;82361;1961-1990;Mean Monthly Value;mm;343.9;411.4;437.8;409.7;226.3;101.6;53.5;30.1;30.4;73.1;105.4;204.4;2227.6
BRAZIL;Ze Doca;82376;1961-1990;Mean Monthly Value;mm;275.6;313.8;332.4;293.5;205.0;89.2;52.1;30.8;23.5;52.1;50.2;117.2;1836.2
BRAZIL;Sobral;82392;1961-1990;Mean Monthly Value;mm;101.6;129.1;231.2;218.5;149.5;59.0;24.8;5.1;1.7;6.2;8.8;24.9;960.4
BRAZIL;Fortaleza;82397;1961-1990;Mean Monthly Value;mm;129.6;215.6;338.6;348.1;226.1;160.1;91.4;31.2;22.8;15.6;13.4;49.8;1642.3
BRAZIL;Fernando de Noronha;82400;1961-1990;Mean Monthly Value;mm;63.1;110.6;263.6;290.3;280.3;190.2;122.0;37.0;18.5;12.0;13.0;17.8;1418.4
BRAZIL;Itaituba;82445;1961-1990;Mean Monthly Value;mm;206.4;292.2;276.1;231.8;188.8;109.6;67.3;92.4;74.8;82.6;128.1;199.7;1949.8
BRAZIL;Caxias;82476;1961-1990;Mean Monthly Value;mm;241.6;274.3;340.8;273.4;137.4;32.2;14.3;16.0;13.0;26.7;51.8;135.8;1557.3
